# G = 0.0
# D = 0.01
Ps,Pf,alpha,beta,D_eff,mean_vx
1.25,6.0,1.9930822866890587,1.0156627267955547,0.466283605535194,3.2757303626727783
1.25,6.5,1.992787263788886,1.1064036421735817,0.4604626431743598,3.575220196365526
1.25,7.0,1.9891024550347656,1.0275007903634796,0.954633028723606,3.8822259597586006
1.25,7.5,1.9932253342628576,1.005538246455733,1.3455241153936528,4.183274707598589
1.25,8.0,1.9884265669663599,0.9904309426548676,1.809859333166841,4.428970469907523
1.5,0.5,1.8366389650619233,0.9965685617198821,0.645275332000074,-0.23140150800142392
1.5,1.0,1.9233509270687974,0.9800640048420807,0.31597106260814767,-0.2152517235065591
1.5,1.5,0.9612059569086381,0.9550559581287597,0.2411941633237207,0.000586561442078954
1.5,2.0,1.9030662285492055,0.9971392872354532,0.17194503277299303,0.2810187587062927
1.5,2.5,1.9662207493692347,0.9533314713061364,0.20170290857895737,0.5643761704005689
1.5,3.0,1.9870573737193338,0.960115487731002,0.1884122249847727,0.8720662602888057
1.5,3.5,1.9963983008220838,0.9917089448711556,0.1729523493520219,1.1644198225009212
1.5,4.0,1.9923113315669156,1.045135746563658,0.15876900697478874,1.4837480749864176
1.5,4.5,1.998774599654027,0.9936574360187025,0.18738308465095516,1.7729341317655403
1.5,5.0,1.993588927980021,1.0070300575650089,0.19751200005450797,2.0765268243852564
1.5,5.5,1.9942887729239491,0.9767503135423609,0.2595865275022448,2.359888139961616
1.5,6.0,1.9953871500335525,0.9846536558263902,0.30783111987923395,2.6334752907328203
1.5,6.5,1.9957502603402801,0.9851992588216019,0.4042044624632589,2.92523681221584
1.5,7.0,1.9961948167015868,1.0283514732704928,0.47478717052613284,3.179307867058388
1.5,7.5,1.9962654166403317,1.055555215166926,0.5609299742012258,3.441117746578175
1.5,8.0,1.990424987155903,0.9929916184388293,1.0148617625918457,3.679669078793456
1.75,0.5,1.8883035967186883,0.9811120795601445,0.8645991586969772,-0.288991424993866
1.75,1.0,1.9905631737672382,0.9679433776247857,0.39438691119581826,-0.2847345817657648
1.75,1.5,1.845658330566848,0.9053521398694959,0.3045342401724094,-0.1268326340683978
1.75,2.0,1.6623780549154654,0.9875200514447302,0.1837319852654211,0.0844519787373367
1.75,2.5,1.9499329616780388,0.9938968779919631,0.18526054733154812,0.3345327835340825
1.75,3.0,1.9774265065817211,1.0274433809433872,0.15847061240844315,0.5885034282606618
1.75,3.5,1.9888741813080764,1.0174992435004169,0.16749682054710302,0.8546206494345248
1.75,4.0,1.9941163294350512,0.9815416997988765,0.1871867980904362,1.1009711363138532
